ID;Objeto;Decisão;Instância;Data Citação;Data Decisão;Status;Justiça;UF;Tribunal;Num. Litisconsortes
ESP.004.390;Objeto 13;Desfavorável;1;16/04/2014;;Ativo;Est;SP;7 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.390;Objeto 13;Favorável;2;16/04/2014;;Ativo;Est;SP;7 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.391;Objeto 12;Desfavorável;1;15/04/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.391;Objeto 12;Favorável;2;15/04/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.394;Objeto 12;Favorável;1;24/04/2014;;Ativo;Est;SP;5 VARA CÍVEL DE SÃO VICENTE;0
ESP.004.394;Objeto 12;Desfavorável;3;24/04/2014;;Ativo;Est;SP;5 VARA CÍVEL DE SÃO VICENTE;0
ESP.004.395;Objeto 13;Favorável;1;24/04/2014;;Ativo;Est;SP;4 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.400;Objeto 9;Favorável;1;26/04/2012;;Encerrado;Est;SP;3 VARA DO TRABALHO DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.400;Objeto 9;Favorável;2;26/04/2012;;Encerrado;Est;SP;3 VARA DO TRABALHO DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.400;Objeto 9;Favorável;3;26/04/2012;;Encerrado;Est;SP;3 VARA DO TRABALHO DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.402;Objeto 41;Desfavorável;1;29/04/2014;;Ativo;Est;SP;2 VARA CÍVEL DE SANTOS;0
ESP.004.407;Objeto 12;Desfavorável;1;29/04/2014;;Ativo;Est;SP;11 VARA CÍVEL DE SANTOS;0
ESP.004.407;Objeto 12;Favorável;2;29/04/2014;;Ativo;Est;SP;11 VARA CÍVEL DE SANTOS;0
ESP.004.409;Objeto 29;Favorável;1;05/05/2014;;Ativo;Est;SP;9 VARA CÍVEL DE SÃO BERNARDO DO CAMPO;0
ESP.004.409;Objeto 29;Favorável;2;05/05/2014;;Ativo;Est;SP;9 VARA CÍVEL DE SÃO BERNARDO DO CAMPO;0
ESP.004.410;Objeto 12;Desfavorável;1;05/05/2014;;Ativo;Est;SP;1 VARA CÍVEL DE SANTOS;0
ESP.004.410;Objeto 12;Favorável;2;05/05/2014;;Ativo;Est;SP;1 VARA CÍVEL DE SANTOS;0
ESP.004.411;Objeto 12;Favorável;1;05/05/2014;;Ativo;Est;SP;7 VARA CÍVEL DE SANTOS;0
ESP.004.411;Objeto 12;Favorável;2;05/05/2014;;Ativo;Est;SP;7 VARA CÍVEL DE SANTOS;0
ESP.004.413;Objeto 9;Desfavorável;1;07/05/2014;;Encerrado;Est;SP;3 VARA CÍVEL DE TAUBATÉ;0
ESP.004.413;Objeto 9;Desfavorável;2;07/05/2014;;Encerrado;Est;SP;3 VARA CÍVEL DE TAUBATÉ;0
ESP.004.413;Objeto 9;Desfavorável;3;07/05/2014;;Encerrado;Est;SP;3 VARA CÍVEL DE TAUBATÉ;0
ESP.004.415;Objeto 12;Favorável;1;09/05/2014;;Encerrado;Est;SP;4 VARA CÍVEL DE SANTOS;0
ESP.004.415;Objeto 12;Favorável;2;09/05/2014;;Encerrado;Est;SP;4 VARA CÍVEL DE SANTOS;0
ESP.004.415;Objeto 12;Favorável;3;09/05/2014;;Encerrado;Est;SP;4 VARA CÍVEL DE SANTOS;0
ESP.004.416;Objeto 12;Favorável;1;09/05/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.418;Objeto 9;Favorável;1;14/05/2014;;Encerrado;Est;SP;4 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.418;Objeto 9;Favorável;2;14/05/2014;;Encerrado;Est;SP;4 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.418;Objeto 9;Favorável;3;14/05/2014;;Encerrado;Est;SP;4 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.419;Objeto 47;Desfavorável;1;15/05/2014;;Ativo;Est;SP;12 VARA CÍVEL DE SANTOS;0
ESP.004.419;Objeto 47;Favorável;2;15/05/2014;;Ativo;Est;SP;12 VARA CÍVEL DE SANTOS;0
ESP.004.420;Objeto 12;Favorável;1;15/05/2014;;Ativo;Est;SP;2 VARA CÍVEL DE CUBATÃO;0
ESP.004.420;Objeto 12;Favorável;2;15/05/2014;;Ativo;Est;SP;2 VARA CÍVEL DE CUBATÃO;0
ESP.004.420;Objeto 12;Desfavorável;3;15/05/2014;;Ativo;Est;SP;2 VARA CÍVEL DE CUBATÃO;0
ESP.004.425;Objeto 9;Favorável;1;19/05/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.425;Objeto 9;Favorável;2;19/05/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.426;Objeto 11;Desfavorável;1;20/05/2014;;Ativo;Est;SP;1 VARA CÍVEL DE CAMPINAS;0
ESP.004.426;Objeto 12;Desfavorável;1;20/05/2014;;Ativo;Est;SP;1 VARA CÍVEL DE CAMPINAS;0
ESP.004.427;Objeto 30;Favorável;1;20/05/2014;;Ativo;Est;SP;2 VARA CÍVEL DE VALINHOS;0
ESP.004.427;Objeto 11;Favorável;1;20/05/2014;;Ativo;Est;SP;2 VARA CÍVEL DE VALINHOS;0
ESP.004.427;Objeto 8;Favorável;1;20/05/2014;;Ativo;Est;SP;2 VARA CÍVEL DE VALINHOS;0
ESP.004.427;Objeto 12;Favorável;1;20/05/2014;;Ativo;Est;SP;2 VARA CÍVEL DE VALINHOS;0
ESP.004.428;Objeto 47;Desfavorável;1;20/05/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.429;Objeto 11;Desfavorável;1;20/05/2014;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.429;Objeto 8;Desfavorável;1;20/05/2014;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.429;Objeto 9;Desfavorável;1;20/05/2014;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.429;Objeto 11;Desfavorável;2;20/05/2014;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.429;Objeto 8;Desfavorável;2;20/05/2014;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.429;Objeto 9;Desfavorável;2;20/05/2014;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.429;Objeto 11;Desfavorável;3;20/05/2014;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.429;Objeto 8;Desfavorável;3;20/05/2014;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.429;Objeto 9;Desfavorável;3;20/05/2014;;Encerrado;Est;SP;2 VARA CÍVEL DE SÃO JOSÉ DOS CAMPOS;0
ESP.004.430;Objeto 25;Favorável;1;20/05/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
